episode,return_mean
48488,-20.3525
48520,-18.8186
48552,-19.0637
48584,-19.8733
48616,-19.9418
48648,-20.1163
48680,-19.0976
48712,-17.4771
48744,-14.9794
48776,-14.5354
48808,-15.0728
48840,-16.0048
48872,-15.7594
48904,-16.3821
48944,-17.7961
48976,-17.6031
49008,-19.7743
49040,-22.1632
49072,-22.899
49096,-19.5558
49128,-21.569
49160,-19.6142
49192,-17.6412
49224,-19.1777
49256,-20.9816
49288,-18.7311
49312,-17.7832
49344,-18.0455
49376,-16.5012
49408,-16.4355
49440,-15.9636
49472,-16.853
49504,-15.5374
49528,-15.4312
49560,-15.4247
49584,-13.889
49616,-13.0982
49640,-13.6711
49672,-13.1511
49704,-13.9948
49736,-16.9764
49768,-17.5629
49800,-19.0621
49832,-19.2479
49864,-19.573
49896,-19.9098
49928,-19.8832
49960,-18.2062
49992,-19.0167
50024,-19.2722
50056,-16.8572
50080,-15.3499
50104,-14.9491
50136,-13.9307
50168,-12.8049
50200,-13.512
50232,-15.451
50264,-17.0834
50296,-17.8979
50328,-18.3997
50360,-19.9451
50392,-21.4459
50424,-22.1758
50456,-24.6078
50488,-25.9677
50520,-25.015
50552,-24.8392
50584,-24.2266
50616,-21.9028
50656,-21.5591
50688,-21.2831
50720,-18.5849
50752,-17.6863
50784,-16.9265
50816,-17.5097
50848,-17.7871
50880,-18.1877
50904,-17.68
50936,-17.262
50968,-16.3359
51000,-16.0425
51032,-16.7103
51064,-17.8922
51096,-19.6296
51128,-19.826
51160,-20.0997
51192,-19.6367
51224,-19.6581
51256,-19.37
51288,-18.2899
51320,-20.8479
51352,-20.4542
51384,-18.8416
51416,-17.2256
51440,-15.5056
51472,-12.7361
51504,-12.4439
51536,-13.0304
51568,-13.2598
51600,-14.6043
51624,-13.0725
51656,-13.7569
51688,-14.5176
51720,-14.614
51752,-14.6791
51776,-14.9591
51808,-15.1917
51840,-14.9751
51872,-15.1626
51896,-12.95
51928,-13.3215
51960,-12.3936
51992,-11.4083
52024,-13.5136
52056,-15.603
52088,-18.51
52120,-18.8685
52144,-18.5429
52168,-16.1325
52200,-17.3133
52232,-14.8849
52264,-14.9925
52296,-15.3002
52328,-15.5947
52352,-12.3189
52384,-11.7873
52408,-11.7661
52440,-12.514
52472,-12.8694
52496,-14.7518
52528,-15.989
52552,-15.6025
52584,-16.1919
52616,-15.2463
52640,-14.5535
52664,-11.9059
52688,-10.3655
52712,-8.2709
52736,-8.4173
52768,-9.0942
52792,-8.6416
52816,-8.8728
52848,-10.0025
52880,-10.1712
52912,-9.571
52944,-11.8901
52976,-14.4366
53008,-14.3824
53040,-15.2694
53072,-16.2861
53104,-16.7502
53136,-17.045
53160,-16.6614
53192,-17.3403
53216,-16.2304
53248,-16.2983
53280,-15.2451
53304,-15.6668
53328,-12.3643
53352,-12.165
53384,-11.7138
53408,-10.3612
53440,-9.437
53464,-11.2458
53496,-12.0515
53528,-12.6324
53560,-13.5108
53592,-16.7799
53624,-16.537
53656,-18.6826
53688,-19.2953
53720,-18.6315
53752,-18.0671
53784,-18.706
53816,-15.9608
53848,-14.4422
53880,-17.0699
53904,-13.8501
53928,-13.9309
53960,-14.049
53992,-13.6584
54016,-11.1003
54048,-13.0345
54080,-11.2698
54104,-10.6322
54136,-11.1169
54160,-10.265
54192,-9.9541
54216,-10.2092
54240,-8.3556
54264,-7.5654
54288,-9.1743
54312,-8.4676
54344,-9.8115
54368,-11.0716
54400,-12.3662
54432,-12.1801
54464,-12.4494
54496,-12.7242
54528,-15.1815
54560,-14.633
54592,-15.2381
54616,-14.6805
54640,-13.6015
54672,-12.5163
54696,-10.332
54728,-9.6985
54760,-11.5009
54784,-11.7904
54816,-13.2923
54840,-13.8966
54872,-14.4572
54904,-15.4451
54936,-15.8469
54968,-14.4941
54992,-15.3132
55016,-14.2526
55040,-11.7472
55072,-10.8179
55104,-11.3466
55136,-11.3343
55168,-11.5634
55200,-11.7864
55232,-13.0445
55264,-13.9959
55296,-15.2035
55328,-16.6179
55360,-19.0585
55392,-18.4207
55424,-18.5289
55456,-18.983
55488,-19.3041
55520,-17.5963
55552,-18.7203
55584,-19.2152
55616,-19.2725
55648,-19.7665
55680,-22.2537
